generation,module_id,mean_recall1,latency
1,elm-0,0.000,278.45
1,elm-1,0.000,288.54
1,elm-2,0.000,88.54
1,elm-3,0.000,248.01
1,elm-4,0.200,184.58
1,transformer-0,0.000,2.85
1,transformer-1,0.000,2.26
1,transformer-2,0.000,2.03
1,transformer-3,0.000,2.05
1,transformer-4,0.000,2.04
2,transformer-1,0.000,2.62
2,transformer-3,0.000,2.09
2,transformer-4,0.000,2.15
2,transformer-2,0.000,3.11
2,elm-4,0.000,188.11
2,transformer-1751690077808-0,0.000,2.26
2,transformer-1751690077809-1,0.000,2.61
2,transformer-1751690077809-2,0.000,1.97
2,transformer-1751690077809-3,0.000,1.98
2,elm-1751690077829-4,0.000,194.87
3,transformer-1751690077808-0,0.000,2.23
3,transformer-4,0.000,1.96
3,transformer-3,0.000,2.14
3,transformer-1751690077809-3,0.000,1.97
3,transformer-1751690077809-2,0.000,5.28
3,transformer-1751690079004-0,0.000,2.08
3,transformer-1751690079005-1,0.000,2.01
3,transformer-1751690079005-2,0.000,1.93
3,transformer-1751690079005-3,0.000,1.93
3,transformer-1751690079006-4,0.000,1.91
4,transformer-1751690077809-3,0.000,2.37
4,transformer-4,0.000,2.18
4,transformer-1751690079005-2,0.000,2.08
4,transformer-1751690079005-3,0.000,2.15
4,transformer-1751690079006-4,0.000,1.95
4,transformer-1751690079048-0,0.000,2.62
4,transformer-1751690079049-1,0.000,2.01
4,transformer-1751690079049-2,0.000,1.96
4,transformer-1751690079049-3,0.000,1.96
4,transformer-1751690079049-4,0.000,2.64
5,transformer-1751690079005-2,0.000,2.34
5,transformer-1751690079049-1,0.000,1.95
5,transformer-1751690079049-2,0.000,2.00
5,transformer-1751690079049-3,0.000,2.37
5,transformer-1751690079006-4,0.000,2.50
5,transformer-1751690079088-0,0.000,3.00
5,transformer-1751690079088-1,0.000,3.36
5,transformer-1751690079089-2,0.000,2.37
5,transformer-1751690079089-3,0.000,2.39
5,transformer-1751690079089-4,0.000,2.40
6,transformer-1751690079049-3,0.000,2.43
6,transformer-1751690079089-2,0.000,2.53
6,transformer-1751690079005-2,0.000,2.00
6,transformer-1751690079049-2,0.000,1.93
6,transformer-1751690079049-1,0.000,1.92
6,transformer-1751690079134-0,0.000,1.91
6,transformer-1751690079134-1,0.000,1.96
6,transformer-1751690079135-2,0.000,1.89
6,transformer-1751690079135-3,0.000,2.20
6,transformer-1751690079135-4,0.000,2.28
7,transformer-1751690079134-1,0.000,2.12
7,transformer-1751690079049-2,0.000,1.91
7,transformer-1751690079049-1,0.000,1.93
7,transformer-1751690079134-0,0.000,1.94
7,transformer-1751690079135-2,0.000,1.95
7,transformer-1751690079173-0,0.000,2.16
7,transformer-1751690079174-1,0.000,1.92
7,transformer-1751690079174-2,0.000,1.95
7,transformer-1751690079174-3,0.000,1.91
7,transformer-1751690079174-4,0.000,1.93
8,transformer-1751690079174-4,0.000,2.25
8,transformer-1751690079049-1,0.000,1.90
8,transformer-1751690079174-1,0.000,2.00
8,transformer-1751690079174-3,0.000,2.09
8,transformer-1751690079049-2,0.000,2.17
8,transformer-1751690079212-0,0.000,1.90
8,transformer-1751690079212-1,0.000,1.90
8,transformer-1751690079212-2,0.000,1.92
8,transformer-1751690079212-3,0.000,1.90
8,transformer-1751690079213-4,0.000,1.91
9,transformer-1751690079213-4,0.000,2.88
9,transformer-1751690079049-1,0.000,2.22
9,transformer-1751690079212-3,0.000,1.92
9,transformer-1751690079212-1,0.000,1.93
9,transformer-1751690079212-0,0.000,1.91
9,transformer-1751690079250-0,0.000,1.92
9,transformer-1751690079251-1,0.000,1.93
9,transformer-1751690079251-2,0.000,1.91
9,transformer-1751690079251-3,0.000,2.13
9,transformer-1751690079251-4,0.000,1.91
10,transformer-1751690079212-3,0.000,2.13
10,transformer-1751690079250-0,0.000,2.48
10,transformer-1751690079212-0,0.000,1.93
10,transformer-1751690079251-2,0.000,1.92
10,transformer-1751690079251-4,0.000,1.92
10,transformer-1751690079289-0,0.000,1.92
10,transformer-1751690079289-1,0.000,2.18
10,transformer-1751690079289-2,0.000,1.92
10,transformer-1751690079289-3,0.000,1.90
10,transformer-1751690079290-4,0.000,1.90
11,transformer-1751690079251-2,0.000,2.30
