config,recall_at_1,recall_at_5,mrr
ELMChain_1_64_relu,0.3550,0.7100,0.5066
ELMChain_1_64_tanh,0.3400,0.7200,0.5006
ELMChain_1_128_relu,0.3600,0.7350,0.5150
ELMChain_1_128_tanh,0.3500,0.7400,0.5067
ELMChain_1_256_relu,0.3450,0.7250,0.5033
ELMChain_1_256_tanh,0.3450,0.7200,0.5032
ELMChain_2_64_relu,0.3550,0.7200,0.5065
ELMChain_2_64_tanh,0.3400,0.7300,0.5007
ELMChain_2_128_relu,0.3600,0.7200,0.5148
ELMChain_2_128_tanh,0.3600,0.7300,0.5131
ELMChain_2_256_relu,0.3500,0.7200,0.5052
ELMChain_2_256_tanh,0.3400,0.7400,0.5078
ELMChain_3_64_relu,0.3450,0.7150,0.5049
ELMChain_3_64_tanh,0.3750,0.7400,0.5270
ELMChain_3_128_relu,0.3700,0.7450,0.5262
ELMChain_3_128_tanh,0.3500,0.7350,0.5155
ELMChain_3_256_relu,0.3550,0.7400,0.5116
ELMChain_3_256_tanh,0.3500,0.7450,0.5126
ELMChain_4_64_relu,0.3550,0.7200,0.5062
ELMChain_4_64_tanh,0.3700,0.7050,0.5190
ELMChain_4_128_relu,0.3400,0.7300,0.5015
ELMChain_4_128_tanh,0.3550,0.7150,0.5094
ELMChain_4_256_relu,0.3550,0.7200,0.5079
ELMChain_4_256_tanh,0.3500,0.7150,0.5071
